NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Montgomery, Lucy Maud","Montgomery, Lucy Maud",Route 6,On brick cairn near Green Glables,Cavendish,Prince Edward Island,"Novelist, writer of world-renowned ""Anne of Green Gables"" books set in Prince Edward Island","Romancière, auteur des livres célèbres à travers le monde «Anne of Green Gables», dont l'action se passe dans l'Île-du-Prince-Édouard",46.488626,-63.382114
"Montizambert, Dr. Frédérick","Montizambert, docteur Frédérick",<Null>,inside the rear door to the Parks Canada Interpretation Centre,Grosse-Île,Quebec,Developed quarantine stations which protected Canadians from deadly epidemics,A créé des stations de quarantaine qui ont protégé les Canadiens des épidémies mortelles,47.026987,-70.672019
"Moodie, Susanna","Moodie, Susanna",114 Bridge Street West,Susanna Moodie Cottage,Belleville,Ontario,"Leading author of 1850s in Ontario, wrote ""Roughing it in the Bush""","Importante femme de lettres de l'Ontario dans les années 1850, auteure de «Roughing it in the Bush»",44.1614,-77.393517
"Moody, Sewell Prescott","Moody, Sewell Prescott",2nd and Moody Avenue,Moodyville Park,North Vancouver,British Columbia,"Entrepreneur, established sawmills in Vancouver area (1865-75)","Homme d'affaires, fonda des scieries dans la région de Vancouver (1865-1875)",49.308017,-123.0591
"Morenz, Howie","Morenz, Howie",1260 De la Gauchetière St. West,"Bell Centre (Air Canada Suite, section 224)",Montréal,Quebec,"Montréal Canadiens hockey star, helped the team win 3 Stanley Cups","Joueur de hockey célèbre, aida les Canadiens de Montréal à remporter trois fois la coupe Stanley",45.496016,-73.569927
"Morice, Adrien-Gabriel, O. M. I.","Morice, Adrien-Gabriel, o. m. i.",<Null>,<Null>,*    Fort St. James,British Columbia,"Oblate missionary in northern British Columbia , wrote ""Athapaskan dictionary""","Missionnaire oblat dans le nord de la Colombie-Britannique, auteur d'«Un dictionnaire Athabascan»",54.44905,-124.264058
"Morin, Augustin Norbert","Morin, Augustin Norbert",<Null>,<Null>,*    Saint-Michel-de-Bellechasse,Quebec,"Co-leader in the Reform Coalition of 1851-54, Superior Court Justice (1855)","Co-leader de la Coalition réformiste de 1851 à 1854, juge à la Cour supérieure (1855)",46.871868,-70.910303
"Morrice, James Wilson","Morrice, James Wilson",<Null>,<Null>,Montréal,Quebec,"Landscape painter, contemporary of J. M. Whistler and H. Matisse","Peintre paysagiste, contemporain de J. M. Whistler et de H. Matisse",45.5,-73.6
"Morris, Alexander","Morris, Alexander",Corner of Main Street and Montreal Ave east,Morris and District Centennial Museum,Morris,Manitoba,"Politician, Great Coalition of 1864, first Chief Justice of Manitoba (1872)","Homme politique, Grande coalition de 1864, premier juge en chef du Manitoba (1872)",49.350852,-97.364095
"Morton, Arthur Silver","Morton, Arthur Silver",Campus Drive,"wall inside Murray Building, University of Saskatchewan",Saskatoon,Saskatchewan,"Historian, teacher, first Provincial Archivist of Saskatchewan","Historien, enseignant, premier archiviste de la Saskatchewan",52.131253,-106.636857
"Motherwell, William Richard","Motherwell, William Richard",Highway 22,Motherwell NHSC,Abernethy,Saskatchewan,Federal Minister of Agriculture; founded Territorial Grain Growers' Association,Ministre fédéral de l'Agriculture; fondateur de l'Association territoriale des producteurs de céréales,50.720713,-103.425004
"Mowat, Sir Oliver","Mowat, sir Oliver",900 Bay Street,Mounted inside Mowat Block,Toronto,Ontario,"Father of Confederation, Premier of Ontario (1872-96)","Père de la Confédération, premier ministre de l'Ontario (1872-1896)",43.663245,-79.38732
"Murdoch, Beamish","Murdoch, Beamish",6016 University Ave. (corner Robie St.),in the Public Archives Building,Halifax,Nova Scotia,"Lawyer, politician, author, wrote ""Epitome of the Laws of Nova Scotia"" (1832-33)","Avocat, homme politique, auteur, autheur de «Epitome of the Laws of Nova Scotia» (1832-1833)",44.637615,-63.586011
"Murphy, Emily Ferguson 'Janey Canuck'","Murphy, Emily Ferguson 'Janey Canuck'",Emily Murphy Park Road NW,Emily Murphy Park,Edmonton,Alberta,"First woman judge in British Commonwealth, fought for women's rights","Première femme magistrat du Commonwealth britannique, milita pour les droits des femmes",53.533699,-113.537401
"Murray, James","Murray, James",<Null>,<Null>,*    Québec,Quebec,"Governor of Quebec (1764-68), Military Governor of Quebec District (1760-64)","Gouverneur de la province de Québec (1764-1768), gouverneur militaire du district de Québec (1760-1764)",46.816667,-71.216667
"Murray, Rear Admiral Leonard Warren","Murray, contre-amiral Leonard Warren","Upper Road, Highway 348",Presbyterian Church,Pictou,Nova Scotia,Organized the Allies' North Atlantic Convoy System during World War II,Organisa les convois dans l'Atlantique Nord pendant la Seconde Guerre mondiale,45.664167,-62.686944
"Musgrave, Sir Anthony","Musgrave, sir Anthony",<Null>,<Null>,Victoria,British Columbia,"Governor of Newfoundland (1864-69) and British Columbia (1869-71), led British Columbia into Confederation","Gouverneur de Terre-Neuve (1864-1869) et la Colombie-Britannique (1869-1871), prépara l'entrée de Colombie-Britannique dans la Confédération",48.419093,-123.342496
"Naismith, James","Naismith, James","Highway 15, north of Almonte near Clayton Sideroad",<Null>,**   Almonte,Ontario,"Physician, inventor of basketball, promoter of physical education","Médecin, inventeur du basketball, partisan de l'éducation physique",45.241758,-76.231153
Neekaneet (Foremost Man),Neekaneet (Foremost Man),<Null>,<Null>,Maple Creek,Saskatchewan,"Plains Cree chief, followers settled in Cypress Hills in 1880s",Chef des cris des plaines qui se sont établis dans les collines du Cypress dans les années 1880,49.916667,-109.483333
"Neilson, John","Neilson, John",<Null>,<Null>,*    Québec,Quebec,"Journalist, reformer, Member of the Assembly of Lower Canada (1818-33, 1841-44)","Journaliste, réformateur, député à l'Assemblée législative du Bas-Canada (1818-1833, 1841-1844)",46.813806,-71.208029
"Nelligan, Émile","Nelligan, Émile",<Null>,<Null>,*    Montréal,Quebec,"Poet, member of ""L'École littéraire de Montréal""","Poète, membre de l'École littéraire de Montréal",45.5,-73.6
Nescambiouit,Nescambiouit,<Null>,Abenaki Museum,*    Odanak,Quebec,His perseverance and sense of commitment to his people gave hope to the Abenakis in their struggle to maintain their autonomy and territorial integrity,Sa persévérance et son dévouement envers son peuple ont donné à la nation abénakise l'espoir de conserver son autonomie et son intégrité territoriale,46.072423,-72.822157
"Newcomb, Simon","Newcomb, Simon",Highway 6,<Null>,Wallace Bridge,Nova Scotia,"Astronomer, United States Naval Observatory, director of the Nautical Almanac (1877-97)","Astronome, Naval Observatory des État-Unis, directeur de «Nautical Almanach» (1877-97)",45.812587,-63.514194
"Newton, Gilbert Stuart","Newton, Gilbert Stuart",6100 University Ave.,"Dalhousie University, School of Business Administration, Kenneth C. Rowe Management Building",Halifax,Nova Scotia,"Painter, member of the Royal Academy (1834-35)","Peintre, membre de la Royal Academy (1834-1835)",44.637162,-63.588301
"Newton, Margaret","Newton, Margaret",195 Dafoe Road,University of Manitoba,Winnipeg,Manitoba,"Contributed to scientific information on rust-resistant grains, rust diseases and wheat stem rust","A contribué à enrichir la connaissance scientifique sur les céréales résistantes à la rouille, la rouille et la rouille de la tige du blé",49.809301,-97.129765
"Nincheri, Guido","Nincheri, Guido",1832 Pie IX Boulevard,<Null>,*    Montréal,Quebec,Lasting and significant contribution to the decoration of Canadian churches during the first half of the 20th century,Une contribution durable et importante à la décoration des églises canadiennes pendant la première moitié du XXe siècle,45.550044,-73.540591
"Nobbs, Percy Erskine","Nobbs, Percy Erskine",690 Sherbrooke Street,McCord Museum,*    Montréal,Quebec,Left a legacy of remarkable buildings and designs that were representative of his commitment to Canada's historical building traditions,A laissé en héritage des bâtiments et des dessins d'architecture caractéristiques de son attachement à la tradition du bâtiment au Canada,45.504354,-73.573621
"Noble, Charles Sherwood","Noble, Charles Sherwood",<Null>,<Null>,Nobleford,Alberta,"Agricultural inventor and entrepreneur, began company which produced much of the machinery required to dry-land farm successfully",Inventeur agricole et entrepreneur qui lança une compagnie produisant une bonne partie des instruments aratoires nécessaires à une culture efficace en sol aride,49.882182,-113.052955
"Norquay, John","Norquay, John",450 Broadway,River Walk Park behind Manitoba Legislative Building,Winnipeg,Manitoba,"Premier of Manitoba (1878-87), Métis statesman","Premier ministre du Manitoba (1878-1887), homme politique métis",49.882917,-97.14575
"Notman, William","Notman, William",<Null>,<Null>,*    Montréal,Quebec,Famous Canadian 19th-century photographer,Important photographe canadien du XIXe siècle,45.5,-73.6
"Oaks, Harold Anthony 'Doc'","Oaks, Harold Anthony «Doc»",958 Ferry Road,"Western Canada Aviation Museum, Winnipeg Airport",Winnipeg,Manitoba,"Pioneer bush pilot, founded Patricia Airways (1926)","Pionnier dans le domaine de l'aviation de brousse, fondateur de Patricia Airways (1926)",49.895778,-97.22093
"Odell, Jonathan","Odell, Jonathan",808 Brunswick St. (corner of Church St.),"On the grounds of the ""Deanery""",Fredericton,New Brunswick,"Clergyman, surgeon, poet, Secretary of New Brunswick (1784-1812)","Écclésiastique, médecin, poète, secrétaire du Nouveau-Brunswick (1784-1812)",45.957139,-66.635829
"Ogilvie, William","Ogilvie, William",<Null>,On a rock on the site of the Commissioner's Residence,Dawson,Yukon Territory,"Surveyor, author, Commissioner of Yukon (1898-1901)","Arpenteur, auteur, commissaire du Yukon (1898-1901)",64.058506,-139.438766
"Olesków, Joséf","Olesków, Joséf",100 Main Street South,City Hall,Dauphin,Manitoba,Profound impact on Ukrainian settlement in the West,Impact considérable sur la colonisation des Ukrainiens de l'Ouest,51.148288,-100.051228
"Oliver, Frank","Oliver, Frank",Jasper Ave and 100th Street,Frank Oliver Memorial Park,Edmonton,Alberta,"Pioneer western journalist, Minister of the Interior (1905-11)","Pionnier du journalisme dans l'Ouest, ministre de l'Intérieur (1905-1911)",53.54025,-113.490033
"Oppenheimer, David","Oppenheimer, David",100 Powell Street,Former Oppenheimer Brothers Building,*    Vancouver,British Columbia,Epitomizes the impact of a small but significant Jewish community upon the early development of British Columbia and the exceptional integration of that community into mainstream society,"Symbolise l'impact qu'a eu une communauté juive, peu nombreuse mais influente, sur le développement de la Colombie-Britannique dans sa période initiale",49.28324,-123.102105
Oronhyatekha,Oronhyatekha,County Road 2 / Church Lane,Her Majesty's Christ Church Chapel NHSC,Tyendinaga Mohawk Territory,Ontario,First accredited Aboriginal medical doctor in Canada,Premier Autochtone diplômé en médecine au Canada,44.185417,-77.073717
"Osler, Sir William","Osler, sir William",3655 promenade Sir-William-Osler,<Null>,Montréal,Quebec,"Medical researcher and educator, essays won a wide popular audience","Médecin, chercheur et professeur, auteur d'essais qui obtinrent un grand succès",45.502581,-73.582048
"Palmer, Daniel David","Palmer, Daniel David",175 Water Street,Palmer Memorial Park,Port Perry,Ontario,Creator and popularizer of the practice of chiropractic medicine,Élabora la première théorie de la chiropratique et popularisa cette méthode thérapeutique,44.105375,-78.942155
"Palmer, Edward","Palmer, Edward",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,"Father of Confederation, Premier of Prince Edward Island (1859-63)","Père de la Confédération, premier ministre de l'Île-du-Prince-Édouard (1859-1863)",46.23525,-63.1258
"Panadis, Théophile","Panadis, Théophile",<Null>,along the river Saint-François,*    Odanak,Quebec,"Safeguarded and perpetuated Abenaki traditions, thus contributing to the strength and influence of the Abenaki arts and identity",A sauvegardé et perpétué les traditions abénaquises et ainsi contribué pour beaucoup à l'affirmation de l'identité et de l'art abénaquis et à leur rayonnement,46.072423,-72.822157
"Papineau, Louis-Joseph","Papineau, Louis-Joseph",440 Bonsecours Street,<Null>,*    Montréal,Quebec,"Famous French-Canadian nationalist, seigneur at Montebello","Célèbre nationaliste Canadien-français, seigneur de Montebello",45.509875,-73.551725
"Parent, Étienne","Parent, Étienne",<Null>,<Null>,*    Beauport,Quebec,"Journalist, editor of ""Le Canadien"" (1822-25, 1831-42)","Journaliste, rédacteur du journal «Le Canadien» (1822-1825, 1831-1842)",46.866667,-71.183333
"Parker, Elizabeth","Parker, Elizabeth",<Null>,"Eliazbeth Parker Hut, Lake O'Hara",*    Yoho National Park of Canada,British Columbia,"Co-founded, with Arthur Wheeler, Canada's first and pre-eminent alpine club, the Alpine Club of Canada (ACC)","Avec Arthur Oliver Wheeler, elle a fondé le distingué Club Alpin du Canada, première société du genre au pays",51.355,-116.343333
"Parker, Sir Gilbert","Parker, sir Gilbert",209 Pinnacle Street,"inside church, Old Corby Public Library",Belleville,Ontario,Author of popular historical and romantic novels,Auteur de populaires romans historiques et romantiques,44.16396,-77.382534
"Parkin, Sir George","Parkin, sir George",<Null>,New Brunswick Museum,Saint John,New Brunswick,Prominent leader of Imperial Federation Movement,L'un des principaux leaders du l'Imperial Federation Movement,45.269115,-66.081857
"Parlby, Mary Irene","Parlby, Mary Irene",<Null>,Alix Lake Park at the end of Main Street,Alix,Alberta,"Legislator, fought for admission of women to Senate","Législatrice, lutta pour ouvrir les portes du Sénat aux femmes",52.397938,-113.183128
"Parry, Sir William Edward","Parry, sir William Edward",<Null>,<Null>,*    Melville Island,Northwest Territories,"Arctic explorer, led three Northwest Passage expeditions","Explorateur de l'Arctique, dirigea trois expéditions au passage du Nord-Ouest",74.765235,-110.637907
